model,model_type,rank,model_size,author,license,downloads,likes,usedstorage,average,ifeval,bbh,math,gpqa,musr,mmlu-pro,co₂ cost,created_at,last_modified,model_scope,access type,score_per_billion,score_per_co2
openai-community/gpt2,gpt2,4113,0.124,openai-community,mit,11471298,3006,11977009063,6.51,17.93,2.67,0.23,1.12,15.35,1.77,0.09,2022-03-02,2024-02-19,pretrained,open-source,52.5,72.33
qwen/qwen2.5-7b-instruct,qwen2,623,7.0,Qwen,apache-2.0,8137502,855,15231271888,35.2,75.85,34.89,50.0,5.48,8.45,36.52,3.24,2024-09-16,2025-01-12,chat/dialogue,open-source,5.03,10.86
qwen/qwen2.5-7b-instruct,qwen2,623,7.0,Qwen,apache-2.0,8137502,855,15231271888,35.2,75.85,34.89,50.0,5.48,8.45,36.52,3.24,2024-09-16,2025-01-12,chat/dialogue,open-source,5.03,10.86
meta-llama/llama-3.1-8b-instruct,llama,1905,8.0,meta-llama,llama3.1,5172472,4866,32123357950,23.76,49.22,29.38,15.56,8.72,8.61,31.09,2.11,2024-07-18,2024-09-25,pretrained,proprietary,2.97,11.26
meta-llama/llama-3.1-8b-instruct,llama,1905,8.0,meta-llama,llama3.1,5172472,4866,32123357950,23.76,49.22,29.38,15.56,8.72,8.61,31.09,2.11,2024-07-18,2024-09-25,pretrained,proprietary,2.97,11.26
qwen/qwen2.5-1.5b-instruct,qwen2,2895,1.5,Qwen,apache-2.0,4052575,535,3087467144,18.43,44.76,19.81,22.05,0.78,3.19,19.99,1.37,2024-09-17,2024-09-25,chat/dialogue,open-source,12.29,13.45
qwen/qwen2.5-1.5b-instruct,qwen2,2895,1.5,Qwen,apache-2.0,4052575,535,3087467144,18.43,44.76,19.81,22.05,0.78,3.19,19.99,1.37,2024-09-17,2024-09-25,chat/dialogue,open-source,12.29,13.45
tinyllama/tinyllama-1.1b-chat-v1.0,llama,4565,1.1,TinyLlama,apache-2.0,3955967,1442,6604219014,2.82,5.96,4.01,1.51,0.0,4.31,1.12,0.54,2023-12-30,2024-03-17,fine_tuned,open-source,2.56,5.22
meta-llama/llama-3.2-1b-instruct,llama,3366,1.0,meta-llama,llama3.2,3814050,1143,4945506836,14.44,56.98,8.74,7.02,3.36,2.97,7.58,0.81,2024-09-18,2024-10-24,chat/dialogue,proprietary,14.44,17.83
meta-llama/llama-3.2-1b-instruct,llama,3366,1.0,meta-llama,llama3.2,3814050,1143,4945506836,14.44,56.98,8.74,7.02,3.36,2.97,7.58,0.81,2024-09-18,2024-10-24,chat/dialogue,proprietary,14.44,17.83
qwen/qwen2.5-3b-instruct,qwen2,1378,3.0,Qwen,other,3651458,325,6171926992,27.16,64.75,25.8,36.78,3.02,7.57,25.05,2.78,2024-09-17,2024-09-25,chat/dialogue,open-source,9.05,9.77
mistralai/mistral-7b-instruct-v0.2,mistral,2886,7.0,mistralai,apache-2.0,3235246,3000,29496005526,18.51,54.96,22.91,3.02,3.47,7.61,19.08,1.07,2023-12-11,2025-07-24,chat/dialogue,open-source,2.64,17.3
distilbert/distilgpt2,gpt2,4446,0.0882,distilbert,apache-2.0,2253030,591,8079459096,4.0,6.11,2.84,0.6,1.23,11.16,2.08,0.25,2022-03-02,2024-02-19,pretrained,open-source,45.35,16.0
deepseek-ai/deepseek-r1-distill-qwen-32b,qwen2,2100,32.0,deepseek-ai,mit,2017836,1465,65527841532,22.96,41.86,17.15,17.07,4.59,16.14,40.96,47.28,2025-01-20,2025-02-24,fine_tuned,open-source,0.72,0.49
meta-llama/llama-3.2-3b-instruct,llama,1768,3.0,meta-llama,llama3.2,1905199,1789,12853298144,24.2,73.93,24.06,17.67,3.8,1.37,24.39,1.93,2024-09-18,2024-10-24,chat/dialogue,proprietary,8.07,12.54
meta-llama/llama-3.2-3b-instruct,llama,1768,3.0,meta-llama,llama3.2,1905199,1789,12853298144,24.2,73.93,24.06,17.67,3.8,1.37,24.39,1.93,2024-09-18,2024-10-24,chat/dialogue,proprietary,8.07,12.54
qwen/qwen2.5-0.5b-instruct,qwen2,3723,0.5,Qwen,apache-2.0,1621423,386,3521294868,10.11,31.53,8.17,10.35,1.23,1.37,8.0,1.24,2024-09-16,2024-09-25,chat/dialogue,open-source,20.22,8.15
qwen/qwen2.5-0.5b-instruct,qwen2,3723,0.5,Qwen,apache-2.0,1621423,386,3521294868,10.11,31.53,8.17,10.35,1.23,1.37,8.0,1.24,2024-09-16,2024-09-25,chat/dialogue,open-source,20.22,8.15
