model,model_type,rank,type,model_size,author,license,language,pipeline_tag,downloads,likes,gated,createdat,lastmodified,usedstorage,average,ifeval,bbh,math,gpqa,musr,mmlu-pro,co₂ cost
openai-community/gpt2,gpt2,4113,open-source,0.124,openai-community,mit,en,text-generation,9820337,2988,False,2022-03-02T23:29:04.000Z,2024-02-19T10:57:45.000Z,11977009063,6.51,17.93,2.67,0.23,1.12,15.35,1.77,0.09
qwen/qwen2.5-7b-instruct,qwen2,623,chat,7.0,Qwen,apache-2.0,['en'],text-generation,6393881,823,False,2024-09-16T11:55:40.000Z,2025-01-12T02:10:10.000Z,15231271888,35.2,75.85,34.89,50.0,5.48,8.45,36.52,3.24
meta-llama/llama-3.1-8b-instruct,llama,1905,open-source,8.0,meta-llama,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,5740098,4777,manual,2024-07-18T08:56:00.000Z,2024-09-25T17:00:57.000Z,32123357950,23.76,49.22,29.38,15.56,8.72,8.61,31.09,2.11
meta-llama/llama-3.2-1b-instruct,llama,3366,chat,1.0,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,4688999,1123,manual,2024-09-18T15:12:47.000Z,2024-10-24T15:07:51.000Z,4945506836,14.44,56.98,8.74,7.02,3.36,2.97,7.58,0.81
qwen/qwen2.5-1.5b-instruct,qwen2,2895,chat,1.5,Qwen,apache-2.0,['en'],text-generation,4583352,525,False,2024-09-17T14:10:29.000Z,2024-09-25T12:32:50.000Z,3087467144,18.43,44.76,19.81,22.05,0.78,3.19,19.99,1.37
qwen/qwen2.5-3b-instruct,qwen2,1378,chat,3.0,Qwen,other,['en'],text-generation,4479250,320,False,2024-09-17T14:08:52.000Z,2024-09-25T12:33:00.000Z,6171926992,27.16,64.75,25.8,36.78,3.02,7.57,25.05,2.78
tinyllama/tinyllama-1.1b-chat-v1.0,llama,4565,proprietary,1.1,TinyLlama,apache-2.0,['en'],text-generation,3374875,1430,False,2023-12-30T06:27:30.000Z,2024-03-17T05:07:08.000Z,6604219014,2.82,5.96,4.01,1.51,0.0,4.31,1.12,0.54
distilbert/distilgpt2,gpt2,4446,open-source,0.0882,distilbert,apache-2.0,en,text-generation,2546979,589,False,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z,8079459096,4.0,6.11,2.84,0.6,1.23,11.16,2.08,0.25
deepseek-ai/deepseek-r1-distill-qwen-32b,qwen2,2100,proprietary,32.0,deepseek-ai,mit,,text-generation,2539010,1457,False,2025-01-20T09:19:00.000Z,2025-02-24T03:31:29.000Z,65527841532,22.96,41.86,17.15,17.07,4.59,16.14,40.96,47.28
meta-llama/llama-3.2-3b-instruct,llama,1768,chat,3.0,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1889728,1767,manual,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z,12853298144,24.2,73.93,24.06,17.67,3.8,1.37,24.39,1.93
mistralai/mistral-7b-instruct-v0.2,mistral,2886,chat,7.0,mistralai,apache-2.0,,text-generation,1814483,2985,False,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z,29496005526,18.51,54.96,22.91,3.02,3.47,7.61,19.08,1.07
qwen/qwen2.5-0.5b-instruct,qwen2,3723,chat,0.5,Qwen,apache-2.0,['en'],text-generation,1449052,377,False,2024-09-16T11:52:46.000Z,2024-09-25T12:32:56.000Z,3521294868,10.11,31.53,8.17,10.35,1.23,1.37,8.0,1.24
microsoft/phi-3-mini-4k-instruct,phi3,1339,chat,3.8,microsoft,mit,"['en', 'fr']",text-generation,1431830,1311,False,2024-04-22T16:18:17.000Z,2024-09-20T18:09:38.000Z,15284863483,27.56,54.77,36.56,16.39,10.96,13.12,33.58,1.57
