Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MMLU-PRO,CO₂ Cost,
4113,🟢,openai-community/gpt2,6.51 %,17.93 %,2.67 %,0.23 %,1.12 %,15.35 %,1.77 %,0.09 kg,
4113,🟢,openai-community/gpt2,6.51 %,17.93 %,2.67 %,0.23 %,1.12 %,15.35 %,1.77 %,0.09 kg,
1905,🟢,meta-llama/Llama-3.1-8B-Instruct,23.76 %,49.22 %,29.38 %,15.56 %,8.72 %,8.61 %,31.09 %,2.11 kg,
1378,💬,Qwen/Qwen2.5-3B-Instruct,27.16 %,64.75 %,25.80 %,36.78 %,3.02 %,7.57 %,25.05 %,2.78 kg,
3366,💬,meta-llama/Llama-3.2-1B-Instruct,14.44 %,56.98 %,8.74 %,7.02 %,3.36 %,2.97 %,7.58 %,0.81 kg,
623,💬,Qwen/Qwen2.5-7B-Instruct,35.20 %,75.85 %,34.89 %,50.00 %,5.48 %,8.45 %,36.52 %,3.24 kg,
2895,💬,Qwen/Qwen2.5-1.5B-Instruct,18.43 %,44.76 %,19.81 %,22.05 %,0.78 %,3.19 %,19.99 %,1.37 kg,
4565,🔶,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2.82 %,5.96 %,4.01 %,1.51 %,0.00 %,4.31 %,1.12 %,0.54 kg,
4446,🟢,distilbert/distilgpt2,4.00 %,6.11 %,2.84 %,0.60 %,1.23 %,11.16 %,2.08 %,0.25 kg,
2100,🔶,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,22.96 %,41.86 %,17.15 %,17.07 %,4.59 %,16.14 %,40.96 %,47.28 kg,
623,💬,Qwen/Qwen2.5-7B-Instruct,35.20 %,75.85 %,34.89 %,50.00 %,5.48 %,8.45 %,36.52 %,3.24 kg,
1768,💬,meta-llama/Llama-3.2-3B-Instruct,24.20 %,73.93 %,24.06 %,17.67 %,3.80 %,1.37 %,24.39 %,1.93 kg,
3366,💬,meta-llama/Llama-3.2-1B-Instruct,14.44 %,56.98 %,8.74 %,7.02 %,3.36 %,2.97 %,7.58 %,0.81 kg,
1868,💬,meta-llama/Meta-Llama-3-8B-Instruct,23.91 %,74.08 %,28.24 %,8.69 %,1.23 %,1.60 %,29.60 %,0.80 kg,
3723,💬,Qwen/Qwen2.5-0.5B-Instruct,10.11 %,31.53 %,8.17 %,10.35 %,1.23 %,1.37 %,8.00 %,1.24 kg,
148,🔶,Qwen/Qwen2.5-14B-Instruct-1M,41.56 %,84.14 %,45.66 %,53.02 %,12.42 %,11.35 %,42.77 %,3.28 kg,
3798,🟢,meta-llama/Llama-2-7b-hf,8.81 %,25.19 %,10.35 %,1.74 %,2.24 %,3.76 %,9.57 %,1.13 kg,
1339,💬,microsoft/Phi-3-mini-4k-instruct,27.56 %,54.77 %,36.56 %,16.39 %,10.96 %,13.12 %,33.58 %,1.57 kg,
4208,🟢,openai-community/gpt2-large,5.57 %,20.48 %,3.25 %,1.21 %,1.23 %,5.66 %,1.58 %,0.36 kg,
3507,🔶,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,13.06 %,37.82 %,5.33 %,21.98 %,0.67 %,0.46 %,12.10 %,1.48 kg,
969,💬,microsoft/phi-4,30.36 %,5.85 %,52.43 %,31.65 %,20.81 %,23.79 %,47.63 %,2.77 kg,
3723,💬,Qwen/Qwen2.5-0.5B-Instruct,10.11 %,31.53 %,8.17 %,10.35 %,1.23 %,1.37 %,8.00 %,1.24 kg,
2886,💬,mistralai/Mistral-7B-Instruct-v0.2,18.51 %,54.96 %,22.91 %,3.02 %,3.47 %,7.61 %,19.08 %,1.07 kg,
4116,💬,HuggingFaceTB/SmolLM2-135M-Instruct,6.47 %,28.83 %,4.72 %,0.30 %,0.00 %,3.68 %,1.27 %,0.34 kg,
1868,💬,meta-llama/Meta-Llama-3-8B-Instruct,23.91 %,74.08 %,28.24 %,8.69 %,1.23 %,1.60 %,29.60 %,0.80 kg,
3748,🟢,meta-llama/Llama-2-7b-chat-hf,9.61 %,39.86 %,4.46 %,1.96 %,0.45 %,3.28 %,7.64 %,1.79 kg,
62,💬,meta-llama/Llama-3.1-70B-Instruct,43.41 %,86.69 %,55.93 %,38.07 %,14.21 %,17.69 %,47.88 %,40.22 kg,
