modelId,model_size,author,license,language,pipeline_tag,downloads,likes,gated,createdAt,lastModified,usedStorage,model_type
openai-community/gpt2,,openai-community,mit,en,text-generation,9820337,2988,False,2022-03-02T23:29:04.000Z,2024-02-19T10:57:45.000Z,11977009063,gpt2
google/gemma-3-1b-it,1B,google,gemma,,text-generation,7303960,663,manual,2025-03-10T12:09:00.000Z,2025-04-04T13:12:40.000Z,10671219620,gemma3_text
Qwen/Qwen3-0.6B,0.6B,Qwen,apache-2.0,,text-generation,7211861,718,False,2025-04-27T03:40:08.000Z,2025-07-26T03:46:27.000Z,4522815806,qwen3
Qwen/Qwen2.5-7B-Instruct,7B,Qwen,apache-2.0,['en'],text-generation,6393881,823,False,2024-09-16T11:55:40.000Z,2025-01-12T02:10:10.000Z,15231271888,qwen2
Gensyn/Qwen2.5-0.5B-Instruct,0.5B,Gensyn,apache-2.0,['en'],text-generation,5965047,25,False,2025-03-28T21:57:22.000Z,2025-03-31T13:32:41.000Z,1929574139,qwen2
Qwen/Qwen3-32B,32B,Qwen,apache-2.0,,text-generation,5963161,553,False,2025-04-27T03:52:59.000Z,2025-07-26T03:45:22.000Z,65535751214,qwen3
meta-llama/Llama-3.1-8B-Instruct,8B,meta-llama,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,5740098,4777,manual,2024-07-18T08:56:00.000Z,2024-09-25T17:00:57.000Z,32123357950,llama
openai/gpt-oss-20b,20B,openai,apache-2.0,,text-generation,5367913,3736,False,2025-08-04T22:33:29.000Z,2025-08-26T17:25:47.000Z,41321532546,gpt_oss
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,,trl-internal-testing,,,text-generation,4916307,1,False,2024-11-25T15:06:15.000Z,2025-09-24T04:53:29.000Z,69779520,qwen2
Qwen/Qwen3-Next-80B-A3B-Instruct,80B,Qwen,apache-2.0,,text-generation,4887608,826,False,2025-09-09T15:40:56.000Z,2025-09-17T06:57:40.000Z,162670584182,qwen3_next
dphn/dolphin-2.9.1-yi-1.5-34b,34B,dphn,apache-2.0,,text-generation,4692110,42,False,2024-05-18T04:50:56.000Z,2025-09-08T05:56:56.000Z,68778931137,llama
meta-llama/Llama-3.2-1B-Instruct,1B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,4688999,1123,manual,2024-09-18T15:12:47.000Z,2024-10-24T15:07:51.000Z,4945506836,llama
Qwen/Qwen2.5-1.5B-Instruct,1.5B,Qwen,apache-2.0,['en'],text-generation,4583352,525,False,2024-09-17T14:10:29.000Z,2024-09-25T12:32:50.000Z,3087467144,qwen2
Qwen/Qwen2.5-3B-Instruct,3B,Qwen,other,['en'],text-generation,4479250,320,False,2024-09-17T14:08:52.000Z,2024-09-25T12:33:00.000Z,6171926992,qwen2
facebook/opt-125m,,facebook,other,en,text-generation,3904993,220,False,2022-05-11T08:25:17.000Z,2023-09-15T13:10:03.000Z,7730636582,opt
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1B,TinyLlama,apache-2.0,['en'],text-generation,3374875,1430,False,2023-12-30T06:27:30.000Z,2024-03-17T05:07:08.000Z,6604219014,llama
openai/gpt-oss-120b,120B,openai,apache-2.0,,text-generation,3230417,4008,False,2025-08-04T22:33:06.000Z,2025-08-26T17:25:03.000Z,195763884726,gpt_oss
bigscience/bloomz-560m,,bigscience,bigscience-bloom-rail-1.0,"['ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zu']",text-generation,3032845,129,False,2022-10-08T16:14:42.000Z,2023-05-27T17:27:11.000Z,2797455940,bloom
context-labs/meta-llama-Llama-3.2-3B-Instruct-FP16,3B,context-labs,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,2842641,7,False,2025-02-22T01:43:43.000Z,2025-02-22T04:09:45.000Z,12853298144,llama
Qwen/Qwen3-4B-Instruct-2507,4B,Qwen,apache-2.0,,text-generation,2561698,401,False,2025-08-05T10:58:03.000Z,2025-09-17T06:56:53.000Z,64383326441,qwen3
distilbert/distilgpt2,,distilbert,apache-2.0,en,text-generation,2546979,589,False,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z,8079459096,gpt2
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32B,deepseek-ai,mit,,text-generation,2539010,1457,False,2025-01-20T09:19:00.000Z,2025-02-24T03:31:29.000Z,65527841532,qwen2
Qwen/Qwen3-8B,8B,Qwen,apache-2.0,,text-generation,2155662,683,False,2025-04-27T03:42:21.000Z,2025-07-26T03:49:13.000Z,16392939430,qwen3
Qwen/Qwen2.5-7B,7B,Qwen,apache-2.0,['en'],text-generation,2086815,233,False,2024-09-15T12:17:40.000Z,2024-09-25T12:32:32.000Z,15231271888,qwen2
meta-llama/Llama-3.2-3B-Instruct,3B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1889728,1767,manual,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z,12853298144,llama
petals-team/StableBeluga2,,petals-team,,['en'],text-generation,1822300,20,False,2023-08-12T22:04:01.000Z,2023-08-23T18:00:41.000Z,551815602022,llama
mistralai/Mistral-7B-Instruct-v0.2,7B,mistralai,apache-2.0,,text-generation,1814483,2985,False,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z,29496005526,mistral
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,70B,RedHatAI,llama3.3,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1718051,11,False,2024-12-11T15:44:06.000Z,2025-09-22T20:28:26.000Z,72687164723,llama
meta-llama/Meta-Llama-3-8B,8B,meta-llama,llama3,['en'],text-generation,1616215,6347,manual,2024-04-17T09:35:16.000Z,2024-09-27T15:52:33.000Z,48183894272,llama
Qwen/Qwen3-30B-A3B-Instruct-2507,30B,Qwen,apache-2.0,,text-generation,1592567,624,False,2025-07-28T07:31:27.000Z,2025-09-17T06:56:43.000Z,61079824827,qwen3_moe
meta-llama/Llama-3.2-1B,1B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1534970,2117,manual,2024-09-18T15:03:14.000Z,2024-10-24T15:08:03.000Z,5142244878,llama
Qwen/Qwen2.5-0.5B-Instruct,0.5B,Qwen,apache-2.0,['en'],text-generation,1449052,377,False,2024-09-16T11:52:46.000Z,2024-09-25T12:32:56.000Z,3521294868,qwen2
Qwen/Qwen3-4B,4B,Qwen,apache-2.0,,text-generation,1440772,416,False,2025-04-27T03:41:29.000Z,2025-07-26T03:46:39.000Z,8056404654,qwen3
microsoft/Phi-3-mini-4k-instruct,,microsoft,mit,"['en', 'fr']",text-generation,1431830,1311,False,2024-04-22T16:18:17.000Z,2024-09-20T18:09:38.000Z,15284863483,phi3
Qwen/Qwen2.5-14B-Instruct,14B,Qwen,apache-2.0,['en'],text-generation,1404138,276,False,2024-09-16T11:56:10.000Z,2024-09-25T12:33:04.000Z,29540134000,qwen2
Qwen/Qwen3-Next-80B-A3B-Thinking,80B,Qwen,apache-2.0,,text-generation,1317760,429,False,2025-09-09T15:45:31.000Z,2025-09-15T09:12:48.000Z,162670584182,qwen3_next
inference-net/Schematron-3B,3B,inference-net,llama3.2,,text-generation,1177427,47,False,2025-08-21T19:15:21.000Z,2025-09-09T08:30:16.000Z,6442934619,llama
allenai/OLMo-2-0425-1B,1B,allenai,apache-2.0,['en'],text-generation,1167115,64,False,2025-04-17T22:45:45.000Z,2025-05-28T20:35:45.000Z,1591836263936,olmo2
Qwen/Qwen3-1.7B,1.7B,Qwen,apache-2.0,,text-generation,1138135,289,False,2025-04-27T03:41:05.000Z,2025-07-26T03:46:32.000Z,4074938246,qwen3
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,8B,unsloth,llama3.1,['en'],text-generation,991289,85,False,2024-07-23T16:09:09.000Z,2025-02-15T10:31:16.000Z,5719956303,llama
meta-llama/Meta-Llama-3-8B-Instruct,8B,meta-llama,llama3,['en'],text-generation,968056,4228,manual,2024-04-17T09:35:12.000Z,2025-06-18T23:49:51.000Z,62143070226,llama
meta-llama/Llama-2-7b-hf,7B,meta-llama,llama2,['en'],text-generation,907416,2168,manual,2023-07-13T16:16:13.000Z,2024-04-17T08:40:16.000Z,53909360564,llama
Qwen/Qwen2.5-32B-Instruct-AWQ,32B,Qwen,apache-2.0,['en'],text-generation,904730,87,False,2024-09-17T13:56:47.000Z,2024-10-09T12:26:37.000Z,19328993904,qwen2
Qwen/Qwen2.5-0.5B,0.5B,Qwen,apache-2.0,['en'],text-generation,898240,314,False,2024-09-15T12:15:39.000Z,2024-09-25T12:32:36.000Z,988097824,qwen2
microsoft/phi-4,,microsoft,mit,['en'],text-generation,883439,2176,False,2024-12-11T11:47:29.000Z,2025-02-24T11:53:58.000Z,29319042992,phi3
KomeijiForce/bart-large-emojilm,,KomeijiForce,,['en'],text-generation,873022,0,False,2023-11-06T02:18:38.000Z,2023-11-10T22:21:05.000Z,3269238401,bart
openai-community/gpt2-large,,openai-community,mit,en,text-generation,849828,334,False,2022-03-02T23:29:04.000Z,2024-02-19T11:11:02.000Z,22915697059,gpt2
